Row Labels,ABQ,ATL,AUS,BHM,BNA,BOS,BWI,CLE,CLT,CVG,DAL,DEN,DFW,ELP,EWR,FLL,HOU,HRL,IAD,IAH,IND,JAX,JFK,LAS,LAX,LBB,LGB,MAF,MCI,MCO,MDW,MEM,MSP,MSY,OAK,OKC,ONT,ORD,PHL,PHX,RDU,SAN,SEA,SFO,SJC,SLC,SNA,STL,TPA,TUL,TUS,TYS
1,0.6875,7.666666667,5.127033792,,14.95833333,3,2.708333333,9.285714286,13.21052632,11.80952381,3.420454545,5.443181818,4.091954023,0.795454545,19.36666667,15.8,8.383561644,-0.416666667,14.47368421,2.495867769,-18.33333333,-5.5,17.13953488,-6.375,2.509090909,-2.739130435,40.75,-3,-5.875,2.3,8.608695652,17.37037037,10.66666667,-3.4,-2.428571429,-9.333333333,3.7,16.69512195,-0.333333333,-1.550561798,38.75,0.52173913,-0.8,7.105263158,13.5,10.63157895,-0.777777778,-16,3.5,-12.66666667,-2.125,
2,-2.307692308,10.25333333,4.965195774,,2.884615385,-10.5,-8.625,16.28571429,4.684210526,14.19047619,5.221590909,9.282352941,5.02247191,-1.636363636,10.22580645,34.53333333,1.571428571,5.333333333,57.76470588,3.598360656,-8.75,-0.25,2.785714286,-0.717948718,1.333333333,0.956521739,23,-1.9375,-1.25,-9.3,3.739130435,12.42857143,-15,-2.5,-1.428571429,-14.66666667,13.1,19.08974359,-3.444444444,2.355555556,19.625,-1.391304348,8.5,6.75,-1.310344828,6.388888889,24.88888889,-15.5,-5.583333333,-6.666666667,11.125,
3,15.8,5.093333333,6.867610837,,10.38461538,-9.666666667,-10.91666667,11.08333333,6.35,4.409090909,7.021621622,2.876404494,14.33522727,4.266666667,11.32258065,7.785714286,5.397435897,3.583333333,12.26315789,4.752066116,-4.375,15.375,-2.888888889,4.119047619,-2.5,0.043478261,58.5,-3.25,8.25,-8.4,8.75,17.48148148,7,7.466666667,1,11.66666667,9.727272727,23.48101266,-22.33333333,1.193548387,41.75,-1.913043478,-3,12.05263158,12.5625,10.22222222,20.125,-8.333333333,-5,2.333333333,23.25,
4,5.8,16.79104478,6.588531821,,12.14285714,-8.333333333,-0.375,5.583333333,2.714285714,4.761904762,8.651933702,13.45977011,6.390804598,3.977272727,15.125,-6.733333333,11.28205128,-0.833333333,51.77777778,9.792,-13.5,-0.875,7.272727273,4.894736842,-2.236363636,3.136363636,5.625,1.125,9.466666667,-1.25,5.047619048,9.962962963,-4,-10.9375,-3,33.33333333,6,30.69014085,9.555555556,6.056179775,21.14285714,-1.458333333,-1.25,24.5,-5.848484848,7.5,-3.75,-10.33333333,-7.416666667,-15,33.28571429,
5,-0.153846154,8.154929577,3.254129606,,8.428571429,-4.333333333,1.958333333,7.083333333,8.5,7.85,9.505882353,9.344086022,9.474576271,1.522727273,16.07142857,8.466666667,3.573333333,12.16666667,29.89473684,5.867256637,-1.285714286,-4.25,6.565217391,-4.6,-0.535714286,-1.681818182,41.875,7.75,1.411764706,-4.904761905,0.125,6.666666667,11,0,-1.142857143,-6,3.4,14.225,-11.5,3.166666667,11.5,-5.956521739,-9,10.05263158,0.689655172,12.125,-8.375,15.25,-2.416666667,5.333333333,22.125,
6,-1.2,12.19444444,5.335015773,,8.961538462,-4,-4.583333333,10.27272727,4.090909091,6.333333333,5.737430168,7.75862069,12.02453988,1.976744186,12.38709677,-3.866666667,9.652777778,0.333333333,33.83333333,2.241666667,-4.714285714,-7.625,10.8372093,-2.024390244,-2.314814815,-0.304347826,8.5,2,24.78571429,-10.80952381,15.47826087,5.428571429,,4.5,0,16,13.90909091,20.34722222,-11.33333333,-2.177777778,12.5,-3.958333333,5.5,27.2,22.51612903,7.368421053,-5.75,4,-1.916666667,3,13.125,
7,-2.4,14.55555556,6.46878825,,6.620689655,3.416666667,5.541666667,23.58333333,25.81818182,8.571428571,8.502673797,-1.555555556,12.43258427,8.377777778,8.741935484,38.26666667,7.948717949,-1.666666667,36.33333333,6.306451613,-0.857142857,-6.375,4.761904762,1.925,0.724137931,2.304347826,3.75,10.375,10.66666667,-1.047619048,9.956521739,11.22222222,-18,4.8,2,-10.33333333,27.2,27.38271605,10.88888889,3.347826087,10.875,-2.25,3.6,13.05,-2.363636364,13.21052632,18.5,-10.66666667,-3.916666667,67.66666667,0.25,
8,4.933333333,24.18918919,5.787460815,,10.80769231,35,9.75,11.54545455,8.136363636,20.47619048,7.475409836,10.32954545,8.851190476,-3.581395349,24.36666667,-8.533333333,8.213333333,0.083333333,9.45,-0.06557377,-10.875,6.25,21.30232558,-3.30952381,2.425925926,1.608695652,4.25,-0.625,1.6875,-7.15,6.043478261,10.07407407,5.5,11.4,-3,-15.33333333,7.1,25.08860759,-15.77777778,1.554347826,60.83333333,-2.130434783,-4,-0.473684211,7.866666667,21.58823529,11.25,10,-3.416666667,-16.66666667,9.375,
9,8.214285714,15.89041096,4.571974522,,18.38461538,-4.5,8.416666667,22.41666667,19.31818182,3.571428571,8.865168539,4.079545455,15.80838323,-4.886363636,18.32258065,1.2,8.376623377,-2.5,22.65,2.559322034,-8.75,-7.5,18.8372093,2.666666667,0.481481481,0.826086957,21.125,0.2,22.53846154,7.047619048,7.826086957,-0.48,16,15.5,1.428571429,14.33333333,5,8.613333333,26.77777778,-4.489130435,26.16666667,2.217391304,14.5,-3.210526316,11.28571429,3,27.125,-13,-3,-12.33333333,2.875,
10,14.35714286,17.13513514,7.827244582,,26.73076923,-2.5,14.79166667,44.18181818,17.90909091,15,12.3423913,4.604395604,11.52352941,-0.888888889,25.875,4.0625,18.8974359,0.083333333,23.72222222,19.20168067,-10.25,-7.5,31.59090909,-3.441860465,4.732142857,4.956521739,19.75,1.352941176,8.375,2.095238095,13.20833333,9.964285714,180,0.066666667,-2.25,10.33333333,18.18181818,15.32,-4.777777778,0.043478261,58.875,-4.75,0,-0.4,1.3125,-0.894736842,17.5,-13.33333333,0.416666667,-6.333333333,0.625,
